Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
59,Male,Pay bills,Sometimes,Frequently,Invest it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
22,Male,Save,Sometimes,Never,Pay off debt,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Spending less
18,Male,Pay bills,Sometimes,Rarely,Save it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Very confident,Creating and sticking to a budget
31,Male,Save,"Yes, daily",Rarely,Invest it,"No, i don't have a budget",Future security,Not comfortable,"Yes, but it's vague",Very confident,Spending less
63,Female,Spend,"No, I don't track it",Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
26,Female,Pay bills,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
48,Female,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
18,Male,Spend,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
21,Male,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, I have a detailed plan",Very confident,Saving more
50,Female,Other,"Yes, daily",Never,Pay off debt,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
35,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
58,Male,Save,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, but it's vague",Very confident,Paying off debt
31,Female,Save,Sometimes,Frequently,Donate it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
21,Female,Pay bills,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Very confident,Spending less
21,Male,Spend,"Yes, daily",Never,Save it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
40,Female,Save,"Yes, daily",Never,Spend it,"Yes, I follow it strictly",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
61,Female,Spend,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
57,Male,Save,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Saving more
46,Male,Spend,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
52,Male,Other,"Yes, monthly",Frequently,Spend it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
30,Male,Pay bills,"Yes, daily",Rarely,Invest it,"Yes, but I don't always stick to it",Other,Not comfortable,"Yes, but it's vague",Somewhat confident,Other
61,Male,Save,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
33,Female,Save,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
26,Male,Spend,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
43,Other,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
28,Male,Save,"Yes, monthly",Always,Spend it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
47,Female,Save,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Other
59,Female,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
19,Female,Save,"No, I don't track it",Frequently,Spend it,"No, i don't have a budget",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
18,Female,Save,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Very confident,Saving more
21,Female,Pay bills,"No, I don't track it",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
56,Female,Pay bills,"Yes, daily",Rarely,Pay off debt,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
20,Male,Save,"No, I don't track it",Frequently,Donate it,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
43,Male,Other,"Yes, monthly",Always,Spend it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
62,Female,Other,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
44,Male,Save,Sometimes,Frequently,Save it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
59,Female,Pay bills,"Yes, monthly",Frequently,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
22,Female,Pay bills,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
35,Other,Spend,"Yes, monthly",Rarely,Save it,"Yes, I follow it strictly",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
35,Female,Save,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Not comfortable,"Yes, but it's vague",Very confident,Investing regularly
46,Female,Save,"Yes, monthly",Frequently,Save it,"Yes, I follow it strictly",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
26,Female,Pay bills,"Yes, daily",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
50,Female,Spend,Sometimes,Rarely,Invest it,"Yes, I follow it strictly",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
49,Male,Save,"Yes, monthly",Frequently,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
45,Female,Other,"Yes, daily",Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
56,Male,Save,"Yes, daily",Frequently,Pay off debt,"No, i don't have a budget",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
18,Male,Save,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
32,Female,Other,"Yes, monthly",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
61,Female,Pay bills,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Saving more
46,Male,Spend,"No, I don't track it",Never,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
62,Female,Save,"Yes, monthly",Never,Pay off debt,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
47,Male,Spend,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
54,Male,Spend,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
62,Female,Save,"Yes, monthly",Rarely,Donate it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Not confident at all,Other
51,Male,Pay bills,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
60,Female,Other,Sometimes,Always,Spend it,"No, i don't have a budget",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
20,Female,Spend,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
51,Male,Save,Sometimes,Always,Spend it,"Yes, I follow it strictly",Travel,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
52,Male,Other,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Travel,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
53,Female,Save,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
55,Female,Spend,"Yes, daily",Rarely,Save it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
35,Female,Pay bills,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
32,Female,Spend,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
21,Female,Save,Sometimes,Always,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
59,Male,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
56,Female,Spend,"Yes, daily",Never,Spend it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
28,Male,Save,Sometimes,Frequently,Spend it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
20,Female,Pay bills,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Other
38,Male,Other,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
59,Male,Other,"No, I don't track it",Never,Spend it,"Yes, I follow it strictly",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Other
45,Male,Other,"Yes, daily",Rarely,Spend it,"Yes, but I don't always stick to it",Other,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
37,Male,Save,"Yes, daily",Frequently,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
18,Male,Save,"No, I don't track it",Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
43,Male,Save,"Yes, monthly",Always,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Investing regularly
44,Male,Pay bills,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Other
57,Male,Pay bills,"No, I don't track it",Rarely,Spend it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Spending less
59,Male,Spend,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
56,Female,Save,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
35,Female,Pay bills,"Yes, daily",Frequently,Pay off debt,"Yes, I follow it strictly",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
44,Female,Spend,"No, I don't track it",Never,Pay off debt,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
54,Male,Pay bills,Sometimes,Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Spending less
31,Female,Pay bills,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
61,Male,Save,Sometimes,Frequently,Spend it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Very confident,Spending less
48,Male,Pay bills,"Yes, monthly",Never,Save it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
41,Female,Pay bills,"Yes, daily",Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
53,Male,Save,Sometimes,Never,Save it,"No, i don't have a budget",Travel,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
52,Male,Other,"Yes, monthly",Rarely,Spend it,"No, i don't have a budget",Travel,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
55,Female,Spend,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
36,Female,Save,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
50,Male,Spend,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
29,Female,Spend,Sometimes,Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
38,Female,Save,Sometimes,Frequently,Spend it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
40,Female,Save,"No, I don't track it",Never,Spend it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Paying off debt
56,Female,Other,"Yes, monthly",Never,Invest it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Somewhat confident,Spending less
24,Male,Other,"Yes, daily",Rarely,Pay off debt,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
47,Male,Pay bills,Sometimes,Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
55,Male,Other,"Yes, monthly",Frequently,Save it,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
56,Male,Save,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
28,Female,Spend,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Saving more
38,Male,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, but it's vague",Somewhat confident,Other
49,Female,Save,"Yes, monthly",Always,Pay off debt,"Yes, I follow it strictly",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
25,Male,Save,"No, I don't track it",Always,Invest it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, but it's vague",Somewhat confident,Spending less
38,Male,Spend,"Yes, monthly",Rarely,Invest it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
33,Female,Save,"No, I don't track it",Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
38,Female,Save,"Yes, monthly",Never,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
32,Female,Save,"Yes, daily",Rarely,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
46,Other,Save,"Yes, monthly",Never,Invest it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Other
34,Male,Save,Sometimes,Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
52,Male,Other,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
47,Female,Spend,"Yes, monthly",Rarely,Pay off debt,"No, i don't have a budget",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
49,Male,Save,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
28,Female,Pay bills,"No, I don't track it",Never,Pay off debt,"Yes, I follow it strictly",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
43,Female,Other,"Yes, daily",Rarely,Spend it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, but it's vague",Very confident,Paying off debt
20,Male,Other,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
35,Male,Save,"Yes, daily",Rarely,Invest it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, but it's vague",Very confident,Investing regularly
27,Male,Spend,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
57,Male,Spend,"Yes, monthly",Rarely,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
63,Male,Pay bills,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
31,Female,Save,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
51,Male,Save,"No, I don't track it",Rarely,Spend it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
22,Female,Other,"Yes, daily",Never,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
